rain,tempm,cycle,metro,car
1,11,0,0,1
1,11,0,0,1
1,11,0,0,1
1,12,0,0,1
1,12,0,0,1
1,14,0,0,1
1,13,0,0,1
1,17,0,0,1
1,20,0,0,1
1,17,0,0,1
1,17,0,0,1
1,23,0,0,1
1,23,0,0,1
1,17,0,0,1
1,17,0,0,1
1,26,0,0,1
1,22,0,0,1
1,19,0,0,1
1,19,0,0,1
1,18,0,0,1
1,17,0,0,1
1,16,0,0,1
1,16,0,0,1
1,16,0,0,1
1,16,0,0,1
1,16,0,0,1
1,15,0,0,1
1,16,0,0,1
1,23,0,0,1
1,20,0,0,1
1,23,0,0,1
1,31,0,0,1
0,17,1,0,0
0,24,1,0,0
0,26,1,0,0
0,29,1,0,0
0,30,1,0,0
0,30,1,0,0
0,28,1,0,0
0,29,1,0,0
0,29,1,0,0
0,29,1,0,0
0,28,1,0,0
0,25,1,0,0
0,24,1,0,0
0,20,1,0,0
0,19,1,0,0
0,34,0,1,0
0,38,0,1,0
0,41,0,1,0
0,43,0,1,0
0,37,0,1,0
0,40,0,1,0
0,36,0,1,0
0,36,0,1,0
0,41,0,1,0
0,39,0,1,0
0,44,0,1,0
0,32,0,1,0
0,41,0,1,0
0,33,0,1,0
0,38,0,1,0
0,29,1,0,0
0,30,1,0,0
0,30,1,0,0
0,29,1,0,0
0,25,1,0,0
0,24,1,0,0
0,22,1,0,0
0,20,1,0,0
0,19,1,0,0
0,19,1,0,0
0,19,1,0,0
0,18,1,0,0
0,17,1,0,0
0,17,1,0,0
0,16,1,0,0
0,15,1,0,0
0,15,1,0,0